------;Straftaten insgesamt;5997040
0;Straftaten gegen das Leben;3028
10000;Mord § 211 StGB darunter:;630
10079;Sonstiger Mord;559
11000;Mord im Zusammenhang mit Raubdelikten;52
12000;Mord im Zusammenhang mit Sexualdelikten;19
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1496
20010;Totschlag § 212 StGB;1478
20020;Minder schwerer Totschlag § 213 StGB;5
20030;Tötung auf Verlangen § 216 StGB;13
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;844
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;58
40010;Schwangerschaftsabbruch § 218 StGB;49
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;5
40030;Ärztliche Pflichtverletzung § 218c StGB;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;3
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1
100000;Straftaten gegen die sexuelle Selbstbestimmung;45824
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB davon:;13729
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB davon:;8031
111100;überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1536
111200;überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;165
111300;durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;343
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5986
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;1
112000;sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4971
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB darunter:;727
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;490
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;23
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;9
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;205
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB davon:;22548
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB darunter:;12623
131010;Handlungen gemäß § 176 Abs. 5 StGB;117
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;5771
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1877
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;664
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;1406
